trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.5, 'e': 0.45068161151856984}",20,14,-2.662895329482155,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.44842820346097695}",25,0,5.786271896578684,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.4461860624436721}",30,16,-50.610133848128854,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.4439551321314537}",20,10,-35.05473727510564,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.4417353564707964}",25,2,-0.7393783667587441,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.43952667968844245}",20,2,-45.76370162878036,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.43732904629000025}",20,0,-49.32934254643286,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.43514240105855023}",20,5,10.405744669215306,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.4329666890532575}",20,0,4.527450310651762,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.4308018556079912}",25,0,7.684513595317662,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.42864784632995123}",35,8,-54.68611079448315,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.4265046070983015}",20,0,-52.29795295750799,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.42437208406280996}",30,4,-83.30246330627759,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 1}",1
173,False,"{'a': 0.5, 'e': 0.4222502236424959}",35,15,6.717037508054551,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.42013897252428345}",20,9,-9.989135169771993,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.418038277661662}",25,13,21.163570370330554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.4159480862733537}",20,9,-65.4270712461382,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.41386834584198695}",20,3,13.816677607179905,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.41179900411277703}",30,7,1.9717207528766025,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40974000909221314}",25,8,3.2091945467290324,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.40769130904675205}",20,8,20.493061566753006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.4056528525015183}",30,0,-51.13489058962845,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.4036245882390107}",20,3,7.433234014352252,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
